invoice_id,station_id,vendor,invoice_amount,invoice_date,status
IN000000,ST032,Malone-Hodges,4285.59,1/19/2025,OVERDUE
IN000001,ST078,Dunlap LLC,4447.66,9/30/2025,PENDING
IN000002,ST037,"Mitchell, Thomas and Johnson",1780.28,9/16/2025,PENDING
IN000003,ST025,"Tyler, Miller and Alvarado",3925.52,2/21/2025,PAID
IN000004,ST045,"Lamb, Moore and Perry",4870.27,3/20/2025,PENDING
IN000005,ST020,Erickson-Jenkins,4284.64,11/10/2024,PAID
IN000006,ST033,Rodriguez-Mejia,1237.12,11/16/2024,PENDING
IN000007,ST067,Villegas-King,1768.38,8/5/2025,OVERDUE
IN000008,ST024,Lawson Inc,4854.26,6/25/2025,PENDING
IN000009,ST025,Deleon Group,603.68,11/22/2024,PENDING
IN000010,ST030,"Boyer, King and Ellis",1670.35,8/19/2025,PAID
IN000011,ST043,"Newman, Williams and Hill",2521.16,3/7/2025,OVERDUE
IN000012,ST079,Diaz-Smith,2953.99,12/29/2024,PAID
IN000013,ST080,Cooley-Ferrell,2416.7,4/16/2025,PENDING
IN000014,ST015,Atkins LLC,1941.66,7/19/2025,PAID
IN000015,ST050,"Perkins, Stewart and Sheppard",4598.89,12/3/2024,PENDING
IN000016,ST088,"Garner, Henson and Tapia",3282.5,11/30/2024,PENDING
IN000017,ST094,Bryant-Walker,2818.77,4/24/2025,OVERDUE
IN000018,ST050,White-Gutierrez,893.46,7/20/2025,PAID
IN000019,ST065,Lopez Inc,1724.42,10/22/2025,PAID
IN000020,ST063,Johnson LLC,1603.86,5/29/2025,OVERDUE
IN000021,ST043,"Frye, Tran and Banks",4026.43,3/7/2025,PENDING
IN000022,ST092,Duncan Group,1678.98,11/11/2024,PENDING
IN000023,ST078,Rose-Johnson,904.06,6/27/2025,OVERDUE
IN000024,ST042,Hurst Group,657.82,10/23/2025,PAID
IN000025,ST033,"Koch, Flores and Ingram",2669.65,8/3/2025,PENDING
