inventory_id,station_id,fuel_type,delivery_liters,current_stock,delivery_date
INV015265,ST085,CNG,13779,100000,5/11/2025
INV000564,ST032,Diesel,17376,99997,8/16/2025
INV042083,ST093,Premium,11707,99997,3/4/2025
INV024654,ST062,Petrol,18149,99994,1/31/2025
INV027401,ST082,CNG,13928,99991,3/18/2025
INV029672,ST035,CNG,16198,99990,4/24/2025
INV001145,ST055,Premium,16546,99989,4/24/2025
INV038548,ST068,CNG,3790,99985,5/4/2025
INV007952,ST006,Diesel,16365,99984,8/9/2025
INV043501,ST004,Premium,16298,99984,6/4/2025
INV005820,ST044,Premium,7200,99982,6/13/2025
INV037074,ST073,Diesel,14676,99981,11/1/2024
INV038014,ST034,Petrol,6614,99978,4/12/2025
INV010796,ST012,Premium,14993,99976,8/4/2025
INV004428,ST047,Premium,1702,99975,7/5/2025
INV015917,ST037,Petrol,3152,99972,6/19/2025
INV043349,ST078,Petrol,1698,99972,7/14/2025
INV037001,ST079,CNG,15500,99970,12/8/2024
INV005778,ST093,CNG,18376,99965,5/24/2025
INV044622,ST099,Petrol,18748,99961,8/31/2025
INV001426,ST068,Diesel,9467,99959,1/15/2025
INV013460,ST064,Diesel,16031,99956,10/9/2025
INV015459,ST074,Diesel,9605,99953,7/30/2025
INV011702,ST055,CNG,2763,99949,11/14/2024
INV000689,ST077,Premium,2677,99948,6/1/2025
INV037104,ST026,Diesel,17495,99948,1/12/2025
INV017804,ST010,Diesel,7273,99947,6/25/2025
INV048968,ST075,CNG,10218,99947,2/9/2025
INV019251,ST066,Diesel,14884,99945,1/5/2025
INV024121,ST027,Premium,13020,99944,5/14/2025
INV030904,ST063,CNG,19317,99939,12/2/2024
INV046865,ST054,Diesel,15505,99938,6/21/2025
INV027863,ST063,CNG,5086,99932,5/25/2025
INV023142,ST081,Diesel,6529,99928,12/2/2024
INV034192,ST081,CNG,9384,99928,6/10/2025
INV003860,ST073,CNG,10046,99927,8/30/2025
INV018298,ST036,CNG,11286,99927,11/1/2024
INV000348,ST002,Premium,4632,99923,2/7/2025
INV048644,ST045,Premium,10882,99921,10/7/2025
INV006241,ST071,Diesel,13095,99920,4/22/2025
INV043481,ST079,Petrol,19769,99920,11/16/2024
INV008416,ST008,Premium,9963,99919,11/11/2024
INV000508,ST021,CNG,5690,99917,11/10/2024
INV004738,ST083,Petrol,14573,99916,1/13/2025
